model,step size,form,tolerance,cpu_time,numItr
slider_crank,1.00E-04,half,1.00E-09,99.347,2.0000125
slider_crank,1.00E-04,fully,1.00E-03,143.141,2.9308125
slider_crank,1.00E-03,half,1.00E-10,12.5147,3.13425
slider_crank,1.00E-03,fully,1.00E-07,25.142,4.855125
slider_crank,1.00E-02,half,1.00E-10,1.81937,5.59
slider_crank,1.00E-02,fully,1.00E-07,3.8223,7.27
four_link,1.00E-04,half,1.00E-07,93.3165,2.000025
four_link,1.00E-04,fully,1.00E-02,128.456,2.9965625
four_link,1.00E-03,half,1.00E-09,13.5558,3.59525
four_link,1.00E-03,fully,1.00E-05,2.17E+01,4.65225
four_link,1.00E-02,half,1.00E-10,2.13917,6.855
four_link,1.00E-02,fully,1.00E-07,3.90227,8.13625
double_pendulum,1.00E-04,half,1.00E-07,47.6116,0.9999875
double_pendulum,1.00E-04,fully,1.00E-05,105.476,2.81645
double_pendulum,1.00E-03,half,1.00E-07,6.50978,2.046875
double_pendulum,1.00E-03,fully,1.00E-06,14.3156,4.021
double_pendulum,1.00E-02,half,1.00E-07,0.926551,3.67875
double_pendulum,1.00E-02,fully,1.00E-07,2.18519,6.475
