time,Steering_input,x,y,vx,vy,ax,ay,yaw,roll,yaw_rate,roll_rate,slip_angle,long_slip,toe_in_r,toe_in_avg,toe_in_l,wlf,wlr,wrf,wrr,tiredef_rf,tiredef_rr,tiredef_lf,tiredef_lr,sp_tor,
+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+4.676247e-310,+0.000000e+00,+0.000000e+00,+4.676247e-310,+0.000000e+00,
+1.000000e-02,+0.000000e+00,-3.722197e-05,-2.506765e-08,-5.472778e-03,+3.631192e-07,-4.251643e-01,+3.106305e-05,+2.109395e-08,-1.118916e-07,-5.897168e-08,-1.819977e-05,+1.306533e+00,-9.500784e-01,-3.269931e-04,+4.626375e-06,+3.362459e-04,+3.522246e-03,+3.520930e-03,+3.520128e-03,+3.520941e-03,+4.676247e-310,+0.000000e+00,+0.000000e+00,+4.676247e-310,+1.809639e+00,
+2.000000e-02,+0.000000e+00,-1.111795e-04,-5.858133e-08,-5.090151e-03,+2.946712e-07,+1.328367e-01,-4.488958e-05,+2.062016e-08,-2.874179e-07,-1.100469e-08,-1.013160e-05,+1.329428e+00,-8.787309e-01,-9.924218e-04,+4.623715e-06,+1.001669e-03,+8.010306e-03,+7.977503e-03,+8.008391e-03,+7.977440e-03,+5.434288e-03,+5.372726e-03,+5.434328e-03,+5.372837e-03,-4.349982e+00,
+3.000000e-02,+0.000000e+00,-1.811536e-04,-2.253224e-08,-4.014658e-03,-8.306964e-07,+6.856343e-02,-1.859528e-04,+2.156287e-08,-1.104694e-07,+2.534866e-07,+5.897589e-05,+1.363802e+00,-4.967561e-01,-1.529806e-03,+4.649693e-06,+1.539106e-03,+2.209344e-02,+2.203501e-02,+2.209139e-02,+2.203455e-02,+1.062545e-02,+1.047561e-02,+1.062553e-02,+1.047574e-02,-1.638749e+01,
+4.000000e-02,+0.000000e+00,-2.485854e-04,+1.354316e-07,-2.455383e-03,-1.313225e-06,+2.607456e-01,+1.735411e-04,+2.529657e-08,+6.989314e-07,+2.024050e-07,+4.760558e-05,+1.413311e+00,+1.774333e-01,-1.892164e-03,+4.729751e-06,+1.901623e-03,+2.146222e-02,+2.876013e-02,+2.144957e-02,+2.874938e-02,+1.445311e-02,+1.418383e-02,+1.445294e-02,+1.418370e-02,+2.219475e+01,
+5.000000e-02,+0.000000e+00,-3.008109e-04,+8.461555e-08,-1.068153e-04,+8.675271e-07,+1.991278e-01,+2.227576e-04,+2.372165e-08,+4.695037e-07,-4.535100e-07,-8.326068e-05,+1.498859e+00,+9.876829e-02,-2.094521e-03,+4.693735e-06,+2.103908e-03,+4.183729e-03,+1.291941e-02,+4.203725e-03,+1.294001e-02,+1.709621e-02,+1.668762e-02,+1.709584e-02,+1.668728e-02,+1.616950e+01,
+6.000000e-02,+0.000000e+00,-3.397341e-04,-1.660778e-07,+1.599598e-03,+4.994776e-06,+1.126870e-01,-2.021795e-02,+1.938503e-08,-8.020008e-07,-6.451279e-07,-1.656263e-04,+9.329170e-01,-3.004743e-01,-2.169317e-03,+4.604171e-06,+2.178525e-03,-6.811565e-03,+2.051104e-03,-7.211948e-03,+3.480326e-03,+1.881699e-02,+1.825888e-02,+1.881697e-02,+1.825888e-02,+8.838166e+00,
+7.000000e-02,+0.000000e+00,-3.701991e-04,-4.637814e-07,+2.131193e-03,+3.408847e-06,-1.124121e-02,+1.140733e-02,+3.614457e-08,-2.526196e-06,-3.768339e-05,-1.530890e-04,-1.662285e-01,+7.443275e-01,-2.170198e-03,+4.285483e-06,+2.178769e-03,-9.042398e-03,-9.207792e-03,-8.473600e-03,+1.237887e-03,+1.997630e-02,+1.914973e-02,+1.997684e-02,+1.915052e-02,-1.268323e+00,
+8.000000e-02,+0.000000e+00,-3.936515e-04,-6.771198e-07,+2.038395e-03,-1.834661e-05,-3.200136e-02,+4.757002e-01,+8.112573e-08,-4.008972e-06,+6.849696e-05,-1.842309e-04,-1.502322e-01,-1.184331e+00,-2.166879e-03,+4.454295e-06,+2.175788e-03,-8.283184e-03,-3.672779e-03,-5.989912e-03,-9.704270e-03,+2.098827e-02,+1.958215e-02,+2.098951e-02,+1.958365e-02,-5.602113e-01,
+9.000000e-02,+0.000000e+00,-4.140235e-04,-8.013689e-07,+1.772327e-03,+1.071147e-04,-8.500610e-02,+6.304325e-01,+6.568799e-08,-5.152254e-06,-2.431516e-04,+4.357394e-05,-2.754196e-01,+1.843072e+00,-2.163956e-03,+4.213594e-06,+2.172384e-03,-1.527321e-02,-1.412222e-02,+2.384676e-03,+2.409956e-03,+2.184943e-02,+1.985903e-02,+2.185135e-02,+1.986105e-02,+8.096978e+00,
+1.000000e-01,+0.000000e+00,-4.316420e-04,-8.932121e-07,+1.437854e-03,+3.054096e-05,-9.112886e-03,-3.122428e-01,+5.491831e-08,-5.973879e-06,+3.247987e-05,-4.687968e-05,-2.781772e-01,+5.121965e-01,-2.161747e-03,+3.798084e-06,+2.169343e-03,-2.045960e-03,-2.025705e-03,-9.497491e-03,-8.402971e-03,+2.253681e-02,+2.004978e-02,+2.253928e-02,+2.005200e-02,-3.515062e+00,
+1.100000e-01,+0.000000e+00,-4.452300e-04,-9.726859e-07,+1.107070e-03,-3.818465e-05,-2.275149e-02,+4.402125e-01,+4.397804e-08,-6.500262e-06,+2.604345e-05,-7.448027e-05,-6.209447e-01,+6.887846e-01,-2.158920e-03,+3.755273e-06,+2.166431e-03,-9.305986e-04,-1.372469e-03,-9.881885e-03,-8.557633e-03,+2.302992e-02,+2.015808e-02,+2.303273e-02,+2.016045e-02,-4.607019e+00,
+1.200000e-01,+0.000000e+00,-4.551700e-04,-1.104844e-06,+6.574845e-04,-9.774214e-06,+2.470592e-02,+6.688158e-01,-3.286229e-08,-6.735945e-06,+4.379980e-05,-8.796624e-06,-8.160277e-01,+1.538333e+00,-2.155642e-03,+3.683782e-06,+2.163010e-03,+2.097654e-03,+1.379656e-03,-8.673378e-03,-7.491340e-03,+2.332334e-02,+2.019140e-02,+2.332651e-02,+2.019354e-02,-3.679172e+00,
+1.300000e-01,+0.000000e+00,-4.616119e-04,-1.097049e-06,+2.652444e-04,+1.784575e-05,-6.985622e-02,+7.587224e-01,-5.730195e-08,-6.543958e-06,+1.847543e-05,+5.127893e-05,-1.114320e+00,+3.406265e+00,-2.152484e-03,+3.585152e-06,+2.159654e-03,+3.946458e-03,+2.824637e-03,-7.848280e-03,-7.009764e-03,+2.342904e-02,+2.015806e-02,+2.343141e-02,+2.015959e-02,-4.185611e+00,
+1.400000e-01,+0.000000e+00,-4.645055e-04,-4.844472e-07,-6.857612e-05,+8.307814e-05,+8.496089e-02,+7.567374e-01,-1.264828e-07,-5.597384e-06,+9.026277e-05,+1.420166e-04,+0.000000e+00,+0.000000e+00,-2.148785e-03,+3.575819e-06,+2.155937e-03,+6.261360e-03,+3.097386e-03,-6.947776e-03,-7.421100e-03,+2.335966e-02,+2.006305e-02,+2.336012e-02,+2.006296e-02,-1.847017e+00,
+1.500000e-01,+0.000000e+00,-4.642133e-04,-1.263373e-07,-3.164075e-04,-6.013257e-05,+8.204666e-02,+7.602864e-01,-1.415995e-07,-4.671613e-06,+5.244587e-05,+2.477667e-05,-1.259494e+00,+2.721818e+00,-2.145856e-03,+3.659078e-06,+2.153174e-03,+6.392332e-03,+3.847351e-03,-6.109029e-03,-7.663446e-03,+2.314680e-02,+1.992596e-02,+2.314713e-02,+1.992606e-02,+1.437319e+00,
+1.600000e-01,+0.000000e+00,-4.614010e-04,-9.185713e-08,-5.297930e-04,+1.585008e-04,+1.618412e-01,+7.250967e-01,-1.319731e-07,-3.896196e-06,+1.524393e-04,+2.341377e-04,-2.863514e-01,+1.930693e+00,-2.143376e-03,+3.766033e-06,+2.150908e-03,+6.096685e-03,+5.710155e-03,-5.967173e-03,-6.142706e-03,+2.281644e-02,+1.974693e-02,+2.281709e-02,+1.974749e-02,+3.559028e+00,
+1.700000e-01,+0.000000e+00,-4.567614e-04,-6.096525e-10,-6.588404e-04,+1.143521e-04,+2.145209e-01,+6.791020e-01,-1.775566e-07,-3.006978e-06,+6.402416e-06,+2.019797e-04,-7.432119e-01,+2.094681e+00,-2.141900e-03,+3.873525e-06,+2.149647e-03,+6.692706e-03,+6.804752e-03,-5.968529e-03,-5.165800e-03,+2.240306e-02,+1.953477e-02,+2.240365e-02,+1.953464e-02,+4.640047e+00,
+1.800000e-01,+0.000000e+00,-4.509708e-04,+1.106660e-07,-7.285370e-04,+1.151677e-04,+1.750631e-01,+6.449375e-01,-2.296697e-07,-2.039209e-06,+5.713410e-05,+2.065313e-04,-4.263383e-01,+1.883469e+00,-2.140628e-03,+3.952434e-06,+2.148533e-03,+7.194867e-03,+7.302896e-03,-5.373546e-03,-4.662961e-03,+2.193303e-02,+1.929822e-02,+2.193304e-02,+1.929799e-02,+4.831915e+00,
