time,Steering_input,x,y,vx,vy,ax,ay,yaw,roll,yaw_rate,roll_rate,slip_angle,long_slip,toe_in_r,toe_in_avg,toe_in_l,wlf,wlr,wrf,wrr,tiredef_rf,tiredef_rr,tiredef_lf,tiredef_lr,sp_tor,current_gear,engine_omega,engine_torque,tc_inp_tor,tc_out_tor,tc_out_omg,tc_sr,
+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+8.61318092e-311,+0.00000000e+00,+0.00000000e+00,+1,+0.00000000e+00,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+0.00000000e+00,-0.00000000e+00,
+1.00000000e-02,+0.00000000e+00,-3.72049485e-05,-5.76258066e-08,-5.47357859e-03,+9.42181307e-07,-4.25221277e-01,+8.70469046e-05,+2.04400332e-08,-2.78533441e-07,-1.71350651e-07,-4.86831903e-05,+1.30648642e+00,-9.21333600e-01,-3.27022813e-04,+4.61192651e-06,+3.36246666e-04,+5.55314929e-03,+5.55183397e-03,+5.55103171e-03,+5.55184522e-03,+0.00000000e+00,+0.00000000e+00,+8.61318092e-311,+0.00000000e+00,+2.88742620e+00,+1,+1.19602659e-03,+2.72018731e-01,+6.35768708e-09,+1.27153742e-08,-1.85491976e-02,-1.48633158e+01,
+2.00000000e-02,+0.00000000e+00,-1.23431581e-04,+2.25255666e-07,-7.59439345e-03,-6.90609221e-06,-6.64833728e-02,-1.19785690e-03,+2.68814936e-08,+1.14159157e-06,+1.82395346e-06,+4.24028889e-04,+1.33857045e+00,-7.59892297e-01,-1.05829603e-03,+4.76905302e-06,+1.06783414e-03,+1.70152822e-02,+1.82073996e-02,+1.69800709e-02,+1.81770791e-02,+5.92642372e-03,+5.85278442e-03,+5.92638419e-03,+5.85280446e-03,-5.23947426e+01,+1,+4.77404592e-03,+5.46789905e-01,-1.01295620e-07,-1.01295620e-07,+1.61765714e-01,+3.70898974e+01,
+3.00000000e-02,+0.00000000e+00,-2.25009678e-04,+1.55466543e-06,-7.31022256e-03,-2.01711275e-05,+1.06274519e-01,-1.29542953e-03,+5.61205900e-08,+8.01019381e-06,+3.71152069e-06,+9.07752630e-04,+1.38614266e+00,-3.38057345e-01,-1.71076433e-03,+5.42213939e-06,+1.72160861e-03,+2.77511773e-02,+3.08730666e-02,+2.76207244e-02,+3.07484914e-02,+1.21667165e-02,+1.19808009e-02,+1.21645828e-02,+1.19786667e-02,-3.67127624e+01,+1,+1.06324201e-02,+8.21571129e-01,-5.02437140e-07,-5.02437140e-07,+3.69230077e-01,+3.78750560e+01,
+4.00000000e-02,+0.00000000e+00,-3.23891366e-04,+3.47701589e-06,-5.70975403e-03,-3.17744813e-05,+2.01729925e-01,-8.18941649e-04,+9.84744984e-08,+1.82307851e-05,+4.05611433e-06,+1.07274549e-03,+1.50436619e+00,+1.95129192e+00,-2.10096086e-03,+6.33130519e-06,+2.11362347e-03,+3.38803549e-02,+3.90497996e-02,+3.36776864e-02,+3.88514032e-02,+1.63988184e-02,+1.60654724e-02,+1.63919245e-02,+1.60585111e-02,-6.75859934e+00,+1,+1.86448973e-02,+1.09636830e+00,-1.54503197e-06,-1.54503197e-06,+4.71277237e-01,+2.67585039e+01,
+5.00000000e-02,+0.00000000e+00,-4.10169355e-04,+5.26966438e-06,-3.41293825e-03,-3.66946112e-05,+2.47369870e-01,+5.39793984e-05,+1.37853527e-07,+2.81906034e-05,+2.61452437e-06,+8.60242238e-04,+3.47520968e-02,+4.67533733e+00,-2.21503751e-03,+7.15490387e-06,+2.22934732e-03,+3.41793039e-02,+4.13678055e-02,+3.39721141e-02,+4.11624258e-02,+1.85878280e-02,+1.80885944e-02,+1.85753721e-02,+1.80760224e-02,+2.42410267e+01,+1,+2.86839719e-02,+1.37118688e+00,-3.65675664e-06,-3.65675664e-06,+4.34581239e-01,+1.55881689e+01,
+6.00000000e-02,+0.00000000e+00,-4.78523580e-04,+6.26439076e-06,-8.15237985e-04,-3.20714251e-05,+2.62890331e-01,+1.02777356e-03,+1.58868449e-07,+3.43753311e-05,+8.64099922e-08,+3.36726536e-04,-1.08075108e+00,+2.66104702e+00,-2.13268152e-03,+7.62448227e-06,+2.14793049e-03,+2.91916436e-02,+3.82738878e-02,+2.90471147e-02,+3.81281844e-02,+1.92761415e-02,+1.86045698e-02,+1.92600973e-02,+1.85884014e-02,+4.85220200e+01,+1,+4.06291558e-02,+1.64603159e+00,-7.33657022e-06,-7.33657022e-06,+2.73841708e-01,+6.78799930e+00,
+7.00000000e-02,+0.00000000e+00,-5.26242509e-04,+6.01327338e-06,+1.84558013e-03,-1.80598685e-05,+2.60134082e-01,+1.82206254e-03,+1.52656305e-07,+3.42627316e-05,-3.07138099e-06,-3.76042991e-04,-1.18128117e+00,+2.29377554e+00,-1.95224495e-03,+7.60115187e-06,+1.96744725e-03,+2.03702934e-02,+3.10594640e-02,+2.03369297e-02,+3.10223330e-02,+1.91100682e-02,+1.82682240e-02,+1.90945937e-02,+1.82526586e-02,+6.31068001e+01,+1,+5.43711314e-02,+1.92090633e+00,+1.31387552e-05,+1.98827400e-05,+2.63912431e-02,+4.88925436e-01,
+8.00000000e-02,+0.00000000e+00,-5.52168727e-04,+4.33104319e-06,+4.41755118e-03,+2.90092004e-06,+2.44884980e-01,+2.31180681e-03,+1.13810516e-07,+2.66266070e-05,-6.29673915e-06,-1.14659237e-03,-1.22800672e+00,+2.18528338e+00,-1.74925277e-03,+7.03540221e-06,+1.76332358e-03,+9.43801200e-03,+2.14109011e-02,+9.54476243e-03,+2.15116811e-02,+1.86083624e-02,+1.76034862e-02,+1.85984376e-02,+1.75935410e-02,+6.81077233e+01,+1,+6.98125064e-02,+2.19581428e+00,+2.16612713e-05,+4.33225426e-05,-2.64649702e-01,-3.71345063e+00,
+9.00000000e-02,+0.00000000e+00,-5.56386591e-04,+1.27361412e-06,+6.78161000e-03,+2.77399729e-05,+2.18600524e-01,+2.51543585e-03,+4.18868583e-08,+1.14903530e-05,-9.05616413e-06,-1.85907319e-03,-1.27481347e+00,+2.20384820e+00,-1.56630834e-03,+5.93088755e-06,+1.57817011e-03,-1.95609112e-03,+1.09167117e-02,-1.69855963e-03,+1.11662187e-02,+1.80919532e-02,+1.69348569e-02,+1.80919658e-02,+1.69349489e-02,+6.49412686e+01,+1,+8.68675696e-02,+2.47075812e+00,+3.35376651e-05,+6.70753302e-05,-5.59845733e-01,-6.28882872e+00,
