time,Steering_input,x,y,vx,vy,ax,ay,yaw,roll,yaw_rate,roll_rate,slip_angle,long_slip,toe_in_r,toe_in_avg,toe_in_l,wlf,wlr,wrf,wrr,tiredef_rf,tiredef_rr,tiredef_lf,tiredef_lr,sp_tor,current_gear,engine_omega,engine_torque,tc_inp_tor,tc_out_tor,tc_out_omg,tc_sr,
+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+8.61318092e-311,+0.00000000e+00,+0.00000000e+00,+1,+0.00000000e+00,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+0.00000000e+00,-0.00000000e+00,
+1.00000000e-02,+0.00000000e+00,-3.72049502e-05,-5.83811393e-08,-5.47357846e-03,+9.61609583e-07,-4.25221268e-01,+9.10156290e-05,+2.04245759e-08,-2.82379583e-07,-1.75818290e-07,-4.98279659e-05,+1.30648581e+00,-9.21338321e-01,-3.27023157e-04,+4.61158058e-06,+3.36246318e-04,+5.55282365e-03,+5.55150833e-03,+5.55070578e-03,+5.55151928e-03,+0.00000000e+00,+0.00000000e+00,+8.61318092e-311,+0.00000000e+00,+2.88695345e+00,+1,+2.39344884e-03,+5.44039297e-01,+2.54604326e-08,+5.09208652e-08,-1.85473635e-02,-7.57078997e+00,
+2.00000000e-02,+0.00000000e+00,-1.23431660e-04,+2.19415259e-07,-7.59441043e-03,-6.81872105e-06,-6.64867322e-02,-1.18856090e-03,+2.67592170e-08,+1.11156173e-06,+1.80589072e-06,+4.19630383e-04,+1.33856874e+00,-7.59906287e-01,-1.05829873e-03,+4.76634611e-06,+1.06783142e-03,+1.70139126e-02,+1.82060317e-02,+1.69791081e-02,+1.81761131e-02,+5.92641991e-03,+5.85278050e-03,+5.92638808e-03,+5.85280838e-03,-5.23965294e+01,+1,+9.54214066e-03,+1.09359450e+00,-4.04677549e-07,-4.04677549e-07,+1.61774865e-01,+1.76875914e+01,
+3.00000000e-02,+0.00000000e+00,-2.25010243e-04,+1.53578602e-06,-7.31029470e-03,-1.99562741e-05,+1.06266661e-01,-1.27937517e-03,+5.57129266e-08,+7.91219304e-06,+3.67320598e-06,+8.98307250e-04,+1.38613833e+00,-3.38104477e-01,-1.71077325e-03,+5.41315480e-06,+1.72159956e-03,+2.77482139e-02,+3.08701117e-02,+2.76190173e-02,+3.07467834e-02,+1.21667008e-02,+1.19807847e-02,+1.21645989e-02,+1.19786828e-02,-3.67161058e+01,+1,+2.12242642e-02,+1.64319129e+00,-2.00208618e-06,-2.00208618e-06,+3.69253937e-01,+1.81224250e+01,
+4.00000000e-02,+0.00000000e+00,-3.23893332e-04,+3.43421038e-06,-5.70993524e-03,-3.13632499e-05,+2.01715887e-01,-7.97002176e-04,+9.75406387e-08,+1.80065282e-05,+3.99380048e-06,+1.05674463e-03,+1.50435425e+00,+1.95086132e+00,-2.10098130e-03,+6.31064007e-06,+2.11360258e-03,+3.38754558e-02,+3.90449226e-02,+3.36752325e-02,+3.88489607e-02,+1.63987776e-02,+1.60654301e-02,+1.63919661e-02,+1.60585523e-02,-6.76381311e+00,+1,+3.71994791e-02,+2.19285120e+00,-6.15022774e-06,-6.15022774e-06,+4.71324467e-01,+1.30114041e+01,
+5.00000000e-02,+0.00000000e+00,-4.10174291e-04,+5.18978409e-06,-3.41329280e-03,-3.60126155e-05,+2.47349163e-01,+8.24031048e-05,+1.36114302e-07,+2.77681435e-05,+2.52978320e-06,+8.36460078e-04,+3.45618725e-02,+4.67554074e+00,-2.21507562e-03,+7.11620977e-06,+2.22930804e-03,+3.41722785e-02,+4.13608353e-02,+3.39689971e-02,+4.11593474e-02,+1.85877458e-02,+1.80885089e-02,+1.85754551e-02,+1.80761042e-02,+2.42338576e+01,+1,+5.72321409e-02,+2.74259429e+00,-1.45578576e-05,-1.45578576e-05,+4.34661120e-01,+7.69251569e+00,
+6.00000000e-02,+0.00000000e+00,-4.78533770e-04,+6.13268808e-06,-8.15834687e-04,-3.10433705e-05,+2.62862517e-01,+1.06194852e-03,+1.56037509e-07,+3.36719052e-05,-2.39871186e-08,+3.04226659e-04,-1.08080571e+00,+2.66102243e+00,-2.13274395e-03,+7.56088506e-06,+2.14786572e-03,+2.91824151e-02,+3.82647541e-02,+2.90435021e-02,+3.81246464e-02,+1.92760014e-02,+1.86044233e-02,+1.92602382e-02,+1.85885393e-02,+4.85128743e+01,+1,+8.10992618e-02,+3.29243845e+00,-2.92315123e-05,-2.92315123e-05,+2.73963372e-01,+3.38707873e+00,
+7.00000000e-02,+0.00000000e+00,-5.26260982e-04,+5.81403186e-06,+1.84467064e-03,-1.66180037e-05,+2.60099316e-01,+1.86158935e-03,+1.48404698e-07,+3.31875876e-05,-3.20061881e-06,-4.17929127e-04,-1.18132505e+00,+2.29373398e+00,-1.95233880e-03,+7.50535222e-06,+1.96734950e-03,+2.03588814e-02,+3.10481879e-02,+2.03331059e-02,+3.10186335e-02,+1.91098550e-02,+1.82680001e-02,+1.90948083e-02,+1.82528677e-02,+6.30957981e+01,+1,+1.08594151e-01,+3.84239936e+00,+5.24119539e-05,+9.44457072e-05,+2.65642084e-02,+2.47515115e-01,
+8.00000000e-02,+0.00000000e+00,-5.52199238e-04,+4.04809078e-06,+4.41626183e-03,+4.81727577e-06,+2.44843865e-01,+2.35640878e-03,+1.07853446e-07,+2.50835936e-05,-6.43778879e-06,-1.19828002e-03,-1.22805449e+00,+2.18524560e+00,-1.74938565e-03,+6.89960895e-06,+1.76318487e-03,+9.42459190e-03,+2.13976648e-02,+9.54113922e-03,+2.15082315e-02,+1.86080632e-02,+1.76031707e-02,+1.85987402e-02,+1.75938346e-02,+6.80950453e+01,+1,+1.39526850e-01,+4.39249076e+00,+8.65232972e-05,+1.73046594e-04,-2.64414518e-01,-1.87042810e+00,
+9.00000000e-02,+0.00000000e+00,-5.56433542e-04,+8.90812186e-07,+6.77988140e-03,+3.01865867e-05,+2.18553970e-01,+2.56536698e-03,+3.39949801e-08,+9.38032999e-06,-9.19757736e-06,-1.92075148e-03,-1.27487089e+00,+2.20386889e+00,-1.56648843e-03,+5.74674223e-06,+1.57798191e-03,-1.97134583e-03,+1.09017172e-02,-1.70161218e-03,+1.11633850e-02,+1.80915575e-02,+1.69344380e-02,+1.80923686e-02,+1.69353381e-02,+6.49272037e+01,+1,+1.73724530e-01,+4.94272487e+00,+1.34134277e-04,+2.68268554e-04,-5.59539663e-01,-3.17468768e+00,
